"method_name","root","AllPlatforms","Android","Windows","Web","IOS","IncludeLdpiTvdpi","MipmapInODrawable","AntiAliasing","CreateImagesetFolders","Keep","PNG","BMP","GIF","JPG","round","ceil","floor","skipExisting","QualityComp","Scale","Threads","run_time(ms;<)","energy(mWs;<)"
"at.favre.tools.dconvert.DConvert$1.onProgress",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.476,17.834080015194793
"at.favre.tools.dconvert.DConvert.execute",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1805955268946806,2.4818076089017134
"at.favre.tools.dconvert.DConvert.execute",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005674117628875209,0.004491751104407476
"at.favre.tools.dconvert.DConvert.execute",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010013573556221792,-0.0011813395945353845
"at.favre.tools.dconvert.DConvert.execute",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116793326309765,0.000558763170027767
"at.favre.tools.dconvert.DConvert.execute",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006267209672147475,-0.0007393667097359809
"at.favre.tools.dconvert.Main$1.onProgress",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.317,4.457443434174574
"at.favre.tools.dconvert.Main.main",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.053006120970721,13.382997257382481
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.3292041180572442,-0.4464650878635342
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001094169502140843,0.0005234730775133373
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.059375415116876516,0.11174608528174149
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0025314778753106654,0.004764307617664174
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.10919298041728086,0.2055040470514336
"at.favre.tools.dconvert.Main.main",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17668281009993894,-0.020843947275460656
"at.favre.tools.dconvert.Main.main",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6782828991820334,0.3245044172450198
"at.favre.tools.dconvert.Main.main",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16434230370372685,0.3092965168988717
"at.favre.tools.dconvert.Main.main",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18864767448800682,-0.02225548811705047
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3666171365939315,-0.5578371337259651
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5104973450607377,-0.7767623150109745
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06745937990700687,0.03227394762691596
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21446733264747328,0.40363313329257455
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2369015245004148,0.44585486952955117
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2473508041729685,0.46552068736212515
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.06604027450152196,-0.007791023920142803
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06821580268705206,-0.10379576961212618
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.14645286007818784,0.07006604481824687
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.004316964285714232,-0.000509288797877826
"at.favre.tools.dconvert.Main.main",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.11489187052503137,-0.174817119400193
"at.favre.tools.dconvert.WorkerHandler$InternalCallback.<init>",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.919,4.745452551634389
"at.favre.tools.dconvert.WorkerHandler$InternalCallback.onJobFinished",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7617123476097465,4.882092500219128
