"method_name","root","BLOCKSIZE","JOBS","LEVEL","CHECKSUM","SKIP","NoTransform","Huffman","ANS0","ANS1","Range","FPAQ","TPAQ","CM","NoEntropy","BWTS","ROLZ","RLT","ZRLT","MTFT","RANK","TEXT","X86","run_time(ms;<)","energy(mWs;<)"
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-296.5017080477711,-358.2864148467883
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-153.05495407952077,-173.77188516743533
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-111.13666836523522,-100.24565208219127
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-122.39568820650543,-186.23477484948546
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-84.77483106364875,-114.97123007697849
"kanzi.Global.computeHistogramOrder0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-161.4970413811095,-314.0904852153394
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-598.9520473009123,-1164.8828829843178
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-354.49538496687677,-689.4468562311932
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-275.7722183002099,-92.1649362490005
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-173.4839960779931,-26.844418794069355
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-407.36602385577146,-271.51188761777064
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-398.5743849668846,-309.6260584667043
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1361.7086627446552,-1775.360143906202
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-684.7079127446517,-229.6468665799477
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-491.87585718911134,-274.493015973007
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-202.40735718911094,-179.3052807907584
"kanzi.Global.computeHistogramOrder0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-345.5598849668915,-192.84088380735264
